"filename", "language", "Terraform", "terraform-vars", "comment", "blank", "total"
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/environments/dev/ls_framework_main.tf", "Terraform", 193, 0, 7, 25, 225
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/environments/dev/terraform.tfvars", "terraform-vars", 0, 0, 0, 1, 1
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/environments/dev/variables.tf", "Terraform", 16, 0, 0, 2, 18
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/global/ecr/ecr_repo.tf", "Terraform", 10, 0, 2, 4, 16
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/global/ecr/output.tf", "Terraform", 3, 0, 0, 2, 5
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/global/ecr/variables.tf", "Terraform", 12, 0, 0, 2, 14
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/db_sg.tf", "Terraform", 23, 0, 11, 8, 42
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/outputs.tf", "Terraform", 18, 0, 0, 6, 24
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/rds.tf", "Terraform", 38, 0, 1, 6, 45
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/s3_buckets.tf", "Terraform", 106, 0, 13, 23, 142
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/secrets.tf", "Terraform", 17, 0, 3, 5, 25
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/data/variables.tf", "Terraform", 38, 0, 1, 7, 46
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/certificate_manager.tf", "Terraform", 22, 0, 1, 6, 29
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/cloudfront.tf", "Terraform", 70, 0, 9, 16, 95
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/outputs.tf", "Terraform", 6, 0, 0, 3, 9
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/route53_public.tf.tf", "Terraform", 13, 0, 2, 5, 20
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/dns_routing/variables.tf", "Terraform", 20, 0, 0, 4, 24
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/alb.tf", "Terraform", 55, 0, 5, 20, 80
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/cloudwatch.tf", "Terraform", 7, 0, 1, 2, 10
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ecs_cluster.tf", "Terraform", 10, 0, 0, 3, 13
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ecs_service.tf", "Terraform", 26, 0, 2, 9, 37
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ecs_task_definition.tf", "Terraform", 32, 0, 2, 8, 42
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/iam_roles.tf", "Terraform", 36, 0, 4, 8, 48
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/ls_framework_sg.tf", "Terraform", 60, 0, 7, 19, 86
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/output.tf", "Terraform", 21, 0, 0, 6, 27
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/route53_private.tf", "Terraform", 10, 0, 0, 3, 13
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/variables.tf", "Terraform", 56, 0, 5, 6, 67
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/endpoint_sg.tf", "Terraform", 29, 0, 3, 6, 38
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/gateways.tf", "Terraform", 20, 0, 4, 6, 30
